,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing,fileDate
18704,AMRK,2023-03-08T00:00:00.000Z,MELTZER CAROL,A,M,1000.0,4.76,23000.0,2023-03-09T21:25:46.000Z
18705,AMRK,2023-03-08T00:00:00.000Z,MELTZER CAROL,D,S,1000.0,28.251,22000.0,2023-03-09T21:25:46.000Z
18706,AXDX,2023-03-07T00:00:00.000Z,MILLER MARK C,A,M,50886.0,0.0,50886.0,2023-03-09T21:24:53.000Z
18707,AXDX,2023-03-07T00:00:00.000Z,MILLER MARK C,A,M,4396.0,0.0,55282.0,2023-03-09T21:24:53.000Z
18708,AUR,2023-03-08T00:00:00.000Z,Shenai Nolan,A,A,80000.0,0.0,187109.0,2023-03-09T21:24:41.000Z
18709,NVDA,2023-03-07T00:00:00.000Z,COXE TENCH,D,G,50000.0,0.0,3547136.0,2023-03-09T21:23:34.000Z
18710,BRKL,2023-03-08T00:00:00.000Z,NOWAK BOGDAN,A,P,4400.0,12.14,163061.712,2023-03-09T21:22:41.000Z
18711,BRKL,2023-03-08T00:00:00.000Z,NOWAK BOGDAN,A,P,4030.0,12.14,167091.712,2023-03-09T21:22:41.000Z
18712,BRKL,2023-03-08T00:00:00.000Z,NOWAK BOGDAN,A,P,600.0,12.13,167691.712,2023-03-09T21:22:41.000Z
18713,BRKL,2023-03-08T00:00:00.000Z,NOWAK BOGDAN,A,P,970.0,12.13,168661.712,2023-03-09T21:22:41.000Z
18714,AUR,2023-03-08T00:00:00.000Z,Tame Richard,A,A,100000.0,0.0,341220.0,2023-03-09T21:22:31.000Z
18715,GD,2023-03-08T00:00:00.000Z,Burns Mark Lagrand,A,A,4175.0,0.0,64682.154,2023-03-09T21:21:50.000Z
18716,GD,2023-03-07T00:00:00.000Z,Burns Mark Lagrand,D,F,4299.0,231.88,60507.154,2023-03-09T21:21:50.000Z
18717,GD,2023-03-07T00:00:00.000Z,Burns Mark Lagrand,A,A,9532.0,0.0,64806.154,2023-03-09T21:21:50.000Z
18718,X,2023-03-07T00:00:00.000Z,Davis Alicia J.,A,A,937.0,0.0,937.0,2023-03-09T21:21:47.000Z
18719,SJM,2023-03-07T00:00:00.000Z,SMUCKER RICHARD K,D,S,26294.0,150.04,629282.0,2023-03-09T21:21:00.000Z
18720,HIMS,2023-03-08T00:00:00.000Z,WELLS DAVID B,D,S,100000.0,9.7654,340357.0,2023-03-09T21:20:51.000Z
18721,SSTK,2023-03-08T00:00:00.000Z,Oringer Jonathan,D,S,6500.0,75.17,11437462.0,2023-03-09T21:20:09.000Z
18722,SSTK,2023-03-07T00:00:00.000Z,Oringer Jonathan,D,S,19725.0,75.58,11456098.0,2023-03-09T21:20:09.000Z
18723,SSTK,2023-03-07T00:00:00.000Z,Oringer Jonathan,D,S,12136.0,76.22,11443962.0,2023-03-09T21:20:09.000Z
18724,AVO,2023-03-08T00:00:00.000Z,Wu Joanne C,D,F,780.0,11.01,40044.0,2023-03-09T21:19:35.000Z
